Organization Id,Name,Country,Founded,Industry,Number of employees
"8cC6B5992C0309c","Acevedo LLC","Holy See (Vatican City State)","2019","Graphic Design / Web Design","7070"
"ec094061FeaF7Bc","Walls-Mcdonald","Lithuania","2005","Utilities","8156"
"DAcC5dbc58946A7","Gregory PLC","Tokelau","2019","Leisure / Travel","6121"
"8Dd7beDa37FbeD0","Byrd, Patterson and Knox","Netherlands","1982","Furniture","3494"
"a3b5c54AEC163e4","Mcdowell-Hopkins","Mayotte","2016","Online Publishing","36"
"fDfEBeFDaEb59Af","Hayden and Sons","Belize","1978","Insurance","7010"
"752ef90Eae1f7f5","Castro LLC","Jamaica","2008","Outsourcing / Offshoring","2526"
"B1D4c5CA34f9992","Barajas, Baird and Shaw","United States of America","2000","Wholesale","4478"
"Cfa1a44106faD4B","Lucas, Galloway and Benjamin","Western Sahara","1990","Retail Industry","8223"
"C08fcf292AB17DF","Barker, Hubbard and Bennett","Mauritania","2014","Museums / Institutions","7716"
"94B9bEedc626820","Underwood-Mitchell","Italy","1992","Fine Art","4564"
"FE42dEd40f5DfD8","Lester, Ochoa and Franco","Timor-Leste","2014","Motion Pictures / Film","8075"
"1F861fAbeDdCFea","Arias, Jackson and Hester","Algeria","1980","Utilities","1319"
"456de7dE1ab18ca","Riggs and Sons","Czech Republic","2012","Law Enforcement","4946"
"457bcfFF18A7DD2","Stanley LLC","Eritrea","1984","Executive Office","4980"
"5B5ea5aea34dc5F","Page-Ware","Togo","1991","Entertainment / Movie Production","1307"
"A66F35C298Dfd82","Garner, Melton and Burgess","Guinea-Bissau","2003","E - Learning","9038"
"EdAC2EF13734E0B","Andersen-Fuentes","Oman","1991","Textiles","6436"
"dD1612190b24B12","Ford-Rice","Turks and Caicos Islands","1971","Computer / Network Security","3038"
"992CAdffccEebEa","Collins-Figueroa","Mongolia","1985","Aviation / Aerospace","9420"
"0f65e641edAa1B5","Vargas PLC","Montserrat","2012","Ranching","1795"
"F8C0578dC3314F8","Rivas LLC","Cuba","1998","Pharmaceuticals","1399"
"ed8aF92FFaDFB1E","Gregory, Fuentes and Middleton","Nauru","1977","Tobacco","924"
"1A53a5EaeCE451b","Burke, Peterson and Paul","Bouvet Island (Bouvetoya)","2016","Executive Office","2414"
"EC0feA85cffbCAf","Petty LLC","Saint Pierre and Miquelon","2015","Marketing / Advertising / Sales","1933"
"9B761645aC1bEFC","Noble-Hodges","Panama","1987","Cosmetics","6302"
"C0EDdD596D7c6C3","Santana and Sons","Syrian Arab Republic","1997","Computer Software / Engineering","2235"
"BeB7b67CDDB77cA","Bernard, Galloway and Gibbs","Guatemala","1994","Oil / Energy / Solar / Greentech","914"
"9Cf0FfADEdAb259","Carney Group","China","2012","E - Learning","7174"
"A180485CbcBAeeF","Cohen, Nunez and Lara","Gabon","2002","Furniture","8031"
"5F4C9D283546ea4","Stokes-Campbell","Singapore","1985","Warehousing","4403"
"cB9E22bCCEE7DF9","Kent PLC","Netherlands","2005","Civil Engineering","6707"
"1F1e3c08eB5eb3c","Bowers, Schmidt and Boyd","Israel","2013","E - Learning","6442"
"1faCF41cC9fC7eC","Underwood Group","Lesotho","1999","Automotive","2909"
"b4d5CbddD8c4cBE","Lambert, Tran and Hendrix","United States of America","1990","Arts / Crafts","8325"
"ffCc95EDE6Ca776","Berry, Ryan and Gilmore","Guinea-Bissau","2020","Leisure / Travel","8435"
"e41eFC164Fdc188","Holden Ltd","Samoa","1978","Mechanical or Industrial Engineering","7948"
"ffBeeC4EFbc6Ee5","Cook-Bishop","Netherlands Antilles","2009","Plastics","843"
